EID,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,EAS,H,UTC
2072,L,1,0,242,242,242,242,0,0.0,498.2,2012-03-13 17:53:36
2073,L,4,1424,242,242,472,242,171,0.0,498.0,2012-03-13 17:56:27
2074,L,1,0,242,242,243,242,0,0.0,498.0,2012-03-13 17:56:27
2075,D,260,10098,243,242,243,242,192,0.0,497.6,2012-03-13 17:59:39
2076,D,79,3829,242,242,242,242,1,0.0,497.6,2012-03-13 17:59:40
2077,L,6,3853,241,239,472,239,86,0.0,497.4,2012-03-13 18:01:06
2078,L,1,0,242,242,242,242,0,0.0,497.4,2012-03-13 18:01:06
2079,E,13,2327,241,241,241,241,59,1.0,497.2,2012-03-13 18:02:05
2080,L,1,0,242,242,242,242,0,0.0,497.2,2012-03-13 18:02:05
2081,L,6,2005,239,238,239,238,22,0.0,497.1,2012-03-13 18:02:27
2082,L,1,0,242,242,242,242,0,0.0,497.1,2012-03-13 18:02:27
2083,E,44,1562,242,240,243,240,117,1.0,496.9,2012-03-13 18:04:24
2084,L,1,0,241,241,242,241,0,0.0,496.9,2012-03-13 18:04:24
2085,L,5,1197,242,242,242,242,4,0.0,496.8,2012-03-13 18:04:28
2086,L,1,0,242,242,242,242,0,0.0,496.8,2012-03-13 18:04:28
2087,L,5,2951,244,243,244,243,23,0.0,496.8,2012-03-13 18:04:51
2088,L,0,0,242,242,242,242,0,0.0,496.8,2012-03-13 18:04:51
2089,L,5,4651,240,241,241,240,17,0.0,496.8,2012-03-13 18:05:08
2090,L,1,0,241,241,242,241,0,0.0,496.8,2012-03-13 18:05:08
2091,L,4,1734,242,242,242,242,13,0.0,496.8,2012-03-13 18:05:21
2092,L,0,0,238,238,239,238,0,0.0,496.8,2012-03-13 18:05:21
