EID,UTC,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
11052,2013-03-09  22:04:59,10,663,241,241,241,241,33,586.3,1.0,9.196054,1000.0,336.033,339.385,36.541,0.0,17.0,0.1570796,0.8498366,1.47196,18.0,18.0,1.7320506083169398,0.0
11054,2013-03-09  22:06:59,20,350,470,236,240,236,120,585.8,1.0,44.51586,2.669082,161.37,104.604,3.625,39.191,6.0,0.3141593,1.243163,2.32379,11.0,5.0,4.112363382758336,16.67834069772502
11056,2013-03-09  22:08:25,15,1133,243,242,244,242,85,586.7,1.0,26.03778,1.00385,654.72,308.199,25.145,307.017,20.0,0.03141593,0.8717798000000001,1.666667,25.0,9.0,5.310550388476028,25.937921179679346
11058,2013-03-09  22:08:27,30,1083,239,237,239,237,2,586.7,1.0,62.79651,0.6225564,618.106,221.109,9.843,355.163,24.0,0.4869469,1.035098,2.0,28.0,7.0,7.728736795936231,100.86878033766784
11060,2013-03-09  22:10:06,24,3927,238,237,238,237,99,588.3,1.0,121.4697,1.075513,1998.177,983.6010000000001,16.45,914.541,43.0,0.1884956,0.5773503000000001,2.104417,45.0,14.0,11.715933117208042,112.94116729406635
11062,2013-03-09  22:10:43,9,1924,238,470,470,238,37,588.6,0.0,1.021261,19.14835,437.788,824.03,428.67400000000004,43.034,38.0,0.2356194,2.194491,0.8025383,38.0,59.0,0.23553939140159205,0.05333415296514095
11066,2013-03-09  22:15:34,24,378,241,235,471,235,17,593.4,1.0,7.936917999999999,0.2468907,257.553,50.6,32.45,204.949,11.0,0.2513274,1.322876,3.0,16.0,1.0,36.28457996063123,32.147499526178926
11068,2013-03-09  22:20:12,16,416,241,239,241,239,278,596.6,1.0,11.70804,0.1568741,273.09,39.969,23.325,254.78400000000002,13.0,0.2042035,0.8043996999999999,2.12132,17.0,4.0,11.207873399256613,74.63336342900475
11070,2013-03-09  22:21:11,7,3269,239,238,239,238,59,597.4,0.0,1.854247,544.4224,1065.884,1634.356,574.8340000000001,3.002,23.0,0.14137170000000002,1.224745,0.9591663,24.0,50.0,0.3759148426815378,0.003405897090405916
11072,2013-03-09  22:21:43,7,7235,240,241,241,240,31,597.4,0.0,0.8163106,928.8395,1374.894,3055.882,1684.2779999999998,3.29,38.0,0.1884956,2.13369,0.8826493000000001,38.0,86.0,0.18278561095218054,0.0008788500026489832
